Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5086733,118,HAK,KHN,2011-12-30,07:40:00,160,164,[F,Y],28,3
Relation:couple,coflycnt
54541039,54541040,1
44399505,65326720,2
14809540,15358764,2
44399505,45324100,3
55625317,55625318,1
3016280,21723946,4
45324100,65326720,2
7947435,7947436,3
40641670,40641671,4
66113191,66113192,3
15575881,45324100,3
12392010,16728736,6
15575881,65326720,2
5814760,64898722,1
15575881,44399505,3
Histroy:pid,cabinclass,seatstr,checkinnum,window,road,part1,row,colimnindex
95912404,3,22-B,54,0,0,0,22,2
95912399,3,21-E,51,0,0,0,21,5
2091051,3,4-B,157,0,0,1,4,2
7947436,3,9-E,7,0,0,1,9,5
48723934,3,13-F,39,1,0,1,13,6
95912402,3,21-D,50,0,1,0,21,4
64898722,3,15-F,33,1,0,1,15,6
44399505,3,15-A,27,1,0,1,15,1
47584979,3,13-A,122,1,0,1,13,1
96207100,3,26-C,115,0,1,0,26,3
96207110,3,7-B,9,0,0,1,7,2
4723585,3,12-D,146,0,1,1,12,4
96207106,3,27-F,128,1,0,0,27,6
96207104,3,16-D,36,0,1,0,16,4
63834677,3,11-B,99,0,0,1,11,2
24211025,1,1-F,79,1,0,1,1,4
66692527,3,5-F,107,1,0,1,5,6
54541039,3,6-A,68,1,0,1,6,1
10436409,1,2-C,147,0,1,1,2,2
5745016,3,7-C,163,0,1,1,7,3
95841691,3,19-A,71,1,0,0,19,1
96207127,3,11-F,22,1,0,1,11,6
65326736,3,24-E,98,0,0,0,24,5
95841700,3,17-B,56,0,0,0,17,2
95841679,3,18-B,63,0,0,0,18,2
95841695,3,19-C,73,0,1,0,19,3
95841689,3,19-D,74,0,1,0,19,4
56990895,3,3-B,158,0,0,1,3,2
74209474,3,10-D,18,0,1,1,10,4
24637769,3,23-E,84,0,0,0,23,5
34728072,3,25-E,101,0,0,0,25,5
96207117,3,14-A,70,1,0,1,14,1
95483730,3,6-D,77,0,1,1,6,4
96207121,3,27-B,125,0,0,0,27,2
96207119,3,14-C,96,0,1,1,14,3
55625318,3,25-C,14,0,1,0,25,3
96207113,3,8-C,10,0,1,1,8,3
86142601,3,8-A,3,1,0,1,8,1
66408264,3,7-E,135,0,0,1,7,5
95912397,3,20-C,43,0,1,0,20,3
95912400,3,20-B,42,0,0,0,20,2
21723946,3,4-D,139,0,1,1,4,4
37678034,3,26-D,137,0,1,0,26,4
95912393,3,20-E,45,0,0,0,20,5
95912403,3,21-B,48,0,0,0,21,2
15575881,3,14-F,28,1,0,1,14,6
31716329,3,12-B,159,0,0,1,12,2
96207102,3,6-E,103,0,0,1,6,5
39027329,3,28-A,144,1,0,0,28,1
40641670,3,8-F,5,1,0,1,8,6
96207107,3,3-E,161,0,0,1,3,5
96207105,3,16-A,90,1,0,0,16,1
3763461,3,14-D,32,0,1,1,14,4
30253984,3,25-A,111,1,0,0,25,1
791911,1,1-C,145,0,1,1,1,2
59910136,3,28-F,148,1,0,0,28,6
15358820,3,5-C,106,0,1,1,5,3
1675799,3,12-A,156,1,0,1,12,1
16728736,1,2-F,130,1,0,1,2,4
95841685,3,18-F,67,1,0,0,18,6
95841686,3,17-A,55,1,0,0,17,1
96207129,3,11-E,23,0,0,1,11,5
69084139,3,22-D,88,0,1,0,22,4
95841682,3,17-F,60,1,0,0,17,6
95841693,3,23-D,83,0,1,0,23,4
95841687,3,22-E,87,0,0,0,22,5
74209475,3,10-F,20,1,0,1,10,6
14809540,3,12-F,153,1,0,1,12,6
78094685,3,24-C,121,0,1,0,24,3
26667820,3,4-A,141,1,0,1,4,1
96207116,3,21-C,108,0,1,0,21,3
5745052,3,16-F,109,1,0,0,16,6
96207118,3,28-C,150,0,1,0,28,3
96207114,3,10-A,15,1,0,1,10,1
96207111,3,9-B,12,0,0,1,9,2
91402077,3,13-C,142,0,1,1,13,3
5235122,3,26-F,118,1,0,0,26,6
95912396,3,21-A,47,1,0,0,21,1
15038593,3,5-E,117,0,0,1,5,5
64777109,3,13-E,40,0,0,1,13,5
95912395,3,20-D,44,0,1,0,20,4
