Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5068963,129,SHA,KMG,2011-12-28,08:20:00,140,158,[F,Y],27,3
Relation:couple,coflycnt
3610269,50204428,3
6865053,95586445,2
22997707,33352971,5
9462001,22933945,2
34262642,95586443,2
882959,882960,7
34262642,95586445,2
6865053,95586443,2
1450797,5174653,1
3368937,92989469,2
95586443,95586445,2
6865053,34262642,2
80840146,95586445,2
80840146,95586443,2
3368937,92989470,2
17186453,17578237,6
6865053,80840146,2
4936832,6621472,9
1145747,2494102,13
92989469,92989470,2
34262642,80840146,2
Histroy:pid,cabinclass,seatstr,checkinnum,window,road,part1,row,colimnindex
20314976,3,25-B,108,0,0,0,25,2
96015845,3,24-C,92,0,1,0,24,3
23503274,3,4-B,91,0,0,1,4,2
35267635,3,16-C,45,0,1,0,16,3
96015837,3,14-A,26,1,0,1,14,1
96015839,3,16-E,73,0,0,0,16,5
96015842,3,8-C,3,0,1,1,8,3
9462001,3,26-D,128,0,1,0,26,4
96015827,3,3-F,124,1,0,1,3,6
65508533,3,18-C,71,0,1,0,18,3
96015830,3,5-F,54,1,0,1,5,6
96015834,3,5-C,57,0,1,1,5,3
92989470,3,21-D,86,0,1,0,21,4
5187539,3,8-D,11,0,1,1,8,4
96015820,3,26-A,113,1,0,0,26,1
96015823,3,3-A,127,1,0,1,3,1
96015817,3,26-F,122,1,0,0,26,6
96015816,3,13-A,21,1,0,1,13,1
11461155,3,17-A,51,1,0,0,17,1
96015867,3,15-F,65,1,0,1,15,6
24598134,3,9-D,116,0,1,1,9,4
32216001,3,12-C,25,0,1,1,12,3
132581,3,20-B,75,0,0,0,20,2
96015863,3,23-A,98,1,0,0,23,1
95586443,3,17-E,47,0,0,0,17,5
95586445,3,17-D,48,0,1,0,17,4
6858463,3,7-B,19,0,0,1,7,2
2942566,3,10-A,151,1,0,1,10,1
40019608,3,25-F,105,1,0,0,25,6
28004703,3,6-F,60,1,0,1,6,6
96015855,3,13-D,27,0,1,1,13,4
96015853,3,12-D,13,0,1,1,12,4
96015850,3,8-E,8,0,0,1,8,5
96015849,3,6-B,6,0,0,1,6,2
15267057,3,20-C,80,0,1,0,20,3
96015846,3,23-D,100,0,1,0,23,4
18038035,3,24-B,93,0,0,0,24,2
96015848,3,6-C,5,0,1,1,6,3
96015838,3,27-F,149,1,0,0,27,6
96015841,3,8-A,1,1,0,1,8,1
21149845,3,12-A,24,1,0,1,12,1
96015844,3,25-C,107,0,1,0,25,3
6621472,3,13-E,31,0,0,1,13,5
96015829,3,21-B,84,0,0,0,21,2
96015833,3,5-B,58,0,0,1,5,2
19810853,3,22-C,89,0,1,0,22,3
22997707,3,27-C,143,0,1,0,27,3
85583845,3,9-F,40,1,0,1,9,6
58832753,3,18-D,59,0,1,0,18,4
96015826,3,3-D,125,0,1,1,3,4
96015815,3,9-A,20,1,0,1,9,1
92989469,3,21-F,88,1,0,0,21,6
69406117,3,23-B,97,0,0,0,23,2
95821049,3,14-B,37,0,0,1,14,2
1145747,3,18-A,52,1,0,0,18,1
79083917,3,11-C,23,0,1,1,11,3
5174653,3,24-F,133,1,0,0,24,6
96015865,3,12-B,136,0,0,1,12,2
63085708,3,7-C,12,0,1,1,7,3
96015862,3,6-A,10,1,0,1,6,1
6865053,3,17-C,49,0,1,0,17,3
96015859,3,6-D,4,0,1,1,6,4
24711358,3,10-B,145,0,0,1,10,2
12405092,3,22-B,130,0,0,0,22,2
15877454,3,10-F,135,1,0,1,10,6
882960,3,10-D,62,0,1,1,10,4
96015854,3,18-F,78,1,0,0,18,6
96015852,3,12-E,14,0,0,1,12,5
12631069,3,22-A,106,1,0,0,22,1
2503515,3,11-F,109,1,0,1,11,6
9148499,3,16-A,69,1,0,0,16,1
28255429,3,19-F,79,1,0,0,19,6
46839838,3,11-A,139,1,0,1,11,1
17699751,3,27-E,150,0,0,0,27,5
85685276,3,25-A,117,1,0,0,25,1
3188539,3,11-B,140,0,0,1,11,2
7819837,3,16-D,39,0,1,0,16,4
4936832,3,13-F,30,1,0,1,13,6
96015828,3,21-C,85,0,1,0,21,3
96015832,3,5-E,55,0,0,1,5,5
96015836,3,19-A,76,1,0,0,19,1
33352971,3,27-B,144,0,0,0,27,2
96015819,3,9-E,41,0,0,1,9,5
96015822,3,26-C,115,0,1,0,26,3
96015825,3,3-E,123,0,0,1,3,5
38810689,3,15-C,33,0,1,1,15,3
3368937,3,21-E,87,0,0,0,21,5
60753548,3,20-D,81,0,1,0,20,4
95821048,3,14-C,36,0,1,1,14,3
55579817,3,23-F,32,1,0,0,23,6
96015866,3,7-D,9,0,1,1,7,4
1450797,3,24-E,134,0,0,0,24,5
96015864,3,20-F,82,1,0,0,20,6
33046847,3,15-B,138,0,0,1,15,2
96015861,3,4-E,43,0,0,1,4,5
80840146,3,17-B,50,0,0,0,17,2
96015858,3,4-A,90,1,0,1,4,1
963662,3,5-A,147,1,0,1,5,1
11942684,3,24-A,104,1,0,0,24,1
96015856,3,19-E,137,0,0,0,19,5
882959,3,10-E,63,0,0,1,10,5
50204428,3,6-E,121,0,0,1,6,5
35320466,3,15-A,35,1,0,1,15,1
17578237,3,7-E,16,0,0,1,7,5
985205,3,4-C,132,0,1,1,4,3
17194525,3,25-D,119,0,1,0,25,4
96015847,3,23-E,146,0,0,0,23,5
24470915,1,2-A,118,1,0,1,2,1
25957674,3,14-F,44,1,0,1,14,6
96015840,3,16-F,72,1,0,0,16,6
