Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5086927,209,HAK,WUH,2011-12-30,07:15:00,182,189,[Y],32,1
Relation:couple,coflycnt
55969441,55969445,1
55969439,55969441,1
39951874,49108791,2
55969439,55969443,1
55969439,55969444,1
55969439,55969445,1
55969438,55969439,1
9579115,38028926,2
55969448,55969449,1
55969447,55969450,1
55969441,55969444,1
55969441,55969443,1
26874823,26874824,3
55969438,55969444,1
55969438,55969443,1
55969438,55969441,1
55969448,55969450,1
11336789,11387826,1
55969449,55969450,1
55969438,55969445,1
61350042,61350044,1
13750342,23697435,1
10331968,10331970,3
55969447,55969449,1
55969452,55969454,1
55969447,55969448,1
35756880,35756883,2
55969444,55969445,1
26168416,56226083,4
55969443,55969445,1
55969443,55969444,1
Histroy:pid,cabinclass,seatstr,checkinnum,window,road,part1,row,colimnindex
95844725,3,20-D,38,0,1,0,20,4
96209844,3,11-F,91,1,0,1,11,6
95844729,3,28-C,44,0,1,0,28,3
11801958,3,15-E,168,0,0,1,15,5
55969438,3,25-A,55,1,0,0,25,1
26168416,3,22-E,110,0,0,0,22,5
96209843,3,6-C,10,0,1,1,6,3
95844723,3,24-F,67,1,0,0,24,6
96209849,3,17-D,124,0,1,0,17,4
29209324,3,10-C,77,0,1,1,10,3
23697435,3,17-E,116,0,0,0,17,5
19693962,3,29-E,166,0,0,0,29,5
86816189,3,1-B,186,0,0,1,1,2
5131481,3,30-A,137,1,0,0,30,1
35391830,3,9-B,98,0,0,1,9,2
8083582,3,19-F,32,1,0,0,19,6
96209861,3,18-D,20,0,1,0,18,4
96209854,3,19-E,118,0,0,0,19,5
95487081,3,15-C,163,0,1,1,15,3
61350044,3,18-A,23,1,0,0,18,1
95477121,3,31-A,174,1,0,0,31,1
96209835,3,21-E,133,0,0,0,21,5
332905,3,10-E,100,0,0,1,10,5
95811034,3,13-A,96,1,0,1,13,1
96209834,3,7-B,25,0,0,1,7,2
96209830,3,8-E,12,0,0,1,8,5
96209831,3,19-A,162,1,0,0,19,1
10331968,3,30-B,141,0,0,0,30,2
21800598,3,8-A,2,1,0,1,8,1
39709852,3,32-C,188,0,1,0,32,3
15883027,3,7-E,14,0,0,1,7,5
5591089,3,26-A,47,1,0,0,26,1
95844691,3,28-A,145,1,0,0,28,1
95844687,3,29-A,46,1,0,0,29,1
26874824,3,3-B,144,0,0,1,3,2
95844684,3,11-E,87,0,0,1,11,5
96209838,3,3-F,155,1,0,1,3,6
95844715,3,25-B,56,0,0,0,25,2
40223015,3,32-E,180,0,0,0,32,5
68072545,3,14-C,119,0,1,1,14,3
55969448,3,27-E,53,0,0,0,27,5
95844712,3,26-E,64,0,0,0,26,5
75574260,3,31-F,167,1,0,0,31,6
96209841,3,17-A,104,1,0,0,17,1
95844701,3,9-E,29,0,0,1,9,5
95844726,3,20-E,39,0,0,0,20,5
96209846,3,12-E,89,0,0,1,12,5
95844731,3,29-D,43,0,1,0,29,4
95844732,3,5-A,30,1,0,1,5,1
95844717,3,22-A,106,1,0,0,22,1
56226083,3,22-F,111,1,0,0,22,6
95844720,3,22-B,107,0,0,0,22,2
73205828,3,23-B,74,0,0,0,23,2
8823631,3,21-C,90,0,1,0,21,3
96209851,3,4-C,129,0,1,1,4,3
39435621,3,12-A,1,1,0,1,12,1
65951635,3,16-F,79,1,0,1,16,6
7525763,3,15-B,176,0,0,1,15,2
95844738,3,13-E,95,0,0,1,13,5
96209847,3,14-B,164,0,0,1,14,2
96209848,3,5-D,156,0,1,1,5,4
8224581,3,2-D,101,0,1,1,2,4
96209856,3,23-D,128,0,1,0,23,4
6226867,3,4-F,136,1,0,1,4,6
61350042,3,18-E,19,0,0,0,18,5
49265905,3,30-D,17,0,1,0,30,4
64914509,3,15-F,182,1,0,1,15,6
95915361,3,29-B,159,0,0,0,29,2
60141160,3,12-B,93,0,0,1,12,2
7525762,3,32-B,177,0,0,0,32,2
6228708,3,14-F,112,1,0,1,14,6
9579115,3,6-F,6,1,0,1,6,6
66867631,3,32-F,185,1,0,0,32,6
96209827,3,13-D,102,0,1,1,13,4
96209828,3,8-C,4,0,1,1,8,3
95844697,3,21-B,42,0,0,0,21,2
49108791,3,1-A,158,1,0,1,1,1
15718998,3,7-C,16,0,1,1,7,3
95844693,3,10-B,82,0,0,1,10,2
95844689,3,5-E,33,0,0,1,5,5
95844688,3,11-C,85,0,1,1,11,3
35756880,3,4-A,130,1,0,1,4,1
95844685,3,11-A,83,1,0,1,11,1
55969439,3,27-B,50,0,0,0,27,2
55969443,3,25-E,59,0,0,0,25,5
11387826,3,16-B,149,0,0,1,16,2
95844710,3,24-A,72,1,0,0,24,1
95844708,3,24-B,71,0,0,0,24,2
95844711,3,27-F,54,1,0,0,27,6
96209842,3,16-E,170,0,0,1,16,5
61175420,3,6-D,9,0,1,1,6,4
95844724,3,20-C,37,0,1,0,20,3
96209845,3,12-F,88,1,0,1,12,6
95844730,3,10-D,62,0,1,1,10,4
95844733,3,5-B,31,0,0,1,5,2
55969452,3,25-F,60,1,0,0,25,6
50052901,3,22-D,109,0,1,0,22,4
8464049,3,19-C,125,0,1,0,19,3
31649196,3,26-F,63,1,0,0,26,6
66048096,3,12-D,99,0,1,1,12,4
96209850,3,17-C,121,0,1,0,17,3
13750342,3,17-F,115,1,0,0,17,6
84124557,3,13-C,114,0,1,1,13,3
95844736,3,20-B,36,0,0,0,20,2
6985811,3,16-C,103,0,1,1,16,3
11656935,3,21-D,126,0,1,0,21,4
9464431,3,3-A,135,1,0,1,3,1
96209862,3,2-A,187,1,0,1,2,1
96209855,3,19-D,117,0,1,0,19,4
95528082,3,7-A,24,1,0,1,7,1
96209859,3,18-B,22,0,0,0,18,2
70277530,3,31-B,175,0,0,0,31,2
96209836,3,21-F,132,1,0,0,21,6
96209837,3,12-C,92,0,1,1,12,3
95811035,3,13-B,97,0,0,1,13,2
70339565,3,14-E,113,0,0,1,14,5
7467800,3,2-C,181,0,1,1,2,3
96209832,3,23-C,147,0,1,0,23,3
10331970,3,30-C,142,0,1,0,30,3
70382540,3,8-B,3,0,0,1,8,2
62038834,3,15-A,172,1,0,1,15,1
96209839,3,7-F,13,1,0,1,7,6
59059082,3,7-D,15,0,1,1,7,4
95844692,3,11-B,84,0,0,1,11,2
56960298,3,5-F,34,1,0,1,5,6
26874823,3,3-C,143,0,1,1,3,3
95844683,3,11-D,86,0,1,1,11,4
8367304,3,3-E,154,0,0,1,3,5
55969441,3,26-C,65,0,1,0,26,3
55969444,3,27-D,52,0,1,0,27,4
57085821,3,14-D,120,0,1,1,14,4
55828958,3,27-C,51,0,1,0,27,3
55969450,3,23-A,73,1,0,0,23,1
55969447,3,25-D,58,0,1,0,25,4
77200251,3,28-E,152,0,0,0,28,5
95844702,3,9-F,28,1,0,1,9,6
95844727,3,20-F,40,1,0,0,20,6
95844728,3,20-A,35,1,0,0,20,1
95688592,3,8-D,27,0,1,1,8,4
95844734,3,26-D,48,0,1,0,26,4
95844718,3,22-C,108,0,1,0,22,3
78155314,3,6-B,11,0,0,1,6,2
95844722,3,26-B,66,0,0,0,26,2
95844721,3,24-D,69,0,1,0,24,4
1006090,3,2-F,122,1,0,1,2,6
96209852,3,6-A,5,1,0,1,6,1
16351363,3,23-F,150,1,0,0,23,6
96209853,3,19-B,165,0,0,0,19,2
7955892,3,14-A,161,1,0,1,14,1
95232889,3,13-F,94,1,0,1,13,6
2091358,3,28-F,123,1,0,0,28,6
34062977,3,5-C,157,0,1,1,5,3
59166307,3,9-C,8,0,1,1,9,3
96209857,3,23-E,127,0,0,0,23,5
30408025,3,31-C,139,0,1,0,31,3
96209860,3,18-F,18,1,0,0,18,6
96209858,3,18-C,21,0,1,0,18,3
89915623,3,16-D,183,0,1,1,16,4
20085366,3,29-C,80,0,1,0,29,3
30784783,3,3-D,153,0,1,1,3,4
66659483,3,4-E,151,0,0,1,4,5
38028926,3,6-E,7,0,0,1,6,5
95811036,3,30-F,76,1,0,0,30,6
11914813,3,10-F,75,1,0,1,10,6
96209829,3,29-F,78,1,0,0,29,6
95844698,3,21-A,41,1,0,0,21,1
39951874,3,2-B,160,0,0,1,2,2
6693929,3,4-D,134,0,1,1,4,4
95844694,3,9-A,61,1,0,1,9,1
95844690,3,28-B,146,0,0,0,28,2
95844686,3,28-D,45,0,1,0,28,4
35756883,3,4-B,131,0,0,1,4,2
95844682,3,10-A,81,1,0,1,10,1
55969454,3,25-C,57,0,1,0,25,3
55969445,3,24-C,70,0,1,0,24,3
11336789,3,16-A,148,1,0,1,16,1
85701586,3,8-F,26,1,0,1,8,6
55969449,3,24-E,68,0,0,0,24,5
95844709,3,27-A,49,1,0,0,27,1
65223581,3,15-D,169,0,1,1,15,4
96209840,3,17-B,105,0,0,0,17,2
Passenger:pid,flycnt,window,road,part1,historyRate
8224581,96,0.32333741,0.63475573,0.64640403,0.6521587682703587
1006090,63,0.32253116,0.67801338,0.77978331,0.4322084997746308
11656935,59,0.33969146,0.54063922,0.59726334,0.5228116683785127
2091358,43,0.52689075,0.42583883,0.52622688,0.5231751541687919
7467800,41,0.23725125,0.63956016,0.7271536,0.7052401022986403
7525763,24,0.4898262,0.45250344,0.59009087,0.5480728066470476
6985811,23,0.29947275,0.57875848,0.62133735,0.6300839065096449
8083582,23,0.47209129,0.46440724,0.42947939,0.5243200525938146
9464431,18,0.37126428,0.49689299,0.46968704,0.4451897968196631
57085821,13,0.30259365,0.61722702,0.54413295,0.6144731576512882
16351363,12,0.44055545,0.48124051,0.57515353,0.45982341897572554
39951874,12,0.37059411,0.28473219,0.55182195,0.6689343141994001
11336789,10,0.3832964,0.53846341,0.5851993,0.7350588438158581
9579115,8,0.51737618,0.39296865,0.6864357,0.7988216625005099
62038834,8,0.71193653,0.31634334,0.54407805,0.6390205472132802
70277530,8,0.29616708,0.33773836,0.5921793,0.570869692502108
5131481,7,0.73293734,0.25654557,0.44760606,0.6645951308236446
6693929,7,0.48747739,0.36286247,0.30314636,0.3864900344528589
11387826,7,0.73920673,0.30905023,0.51213539,0.7292063343874162
38028926,7,0.41968229,0.19096148,0.69811726,0.8409055049943215
49108791,7,0.49366891,0.4809148,0.36697966,0.583770555127623
73205828,7,0.46225825,0.31926802,0.29772806,0.6329138357282919
332905,6,0.4763535,0.57311505,0.59875995,0.5113395537380601
6226867,6,0.51870745,0.72278911,0.35884354,0.3767963889653648
7525762,6,0.43379286,0.48521915,0.30580238,0.5848177249579142
11914813,6,0.49776462,0.50223535,0.3040773,0.4258951524071999
26168416,6,0.35467523,0.34608781,0.52599388,0.7413210577027238
34062977,6,0.35053042,0.4533934,0.54762912,0.5430938230588578
8367304,5,0.33024168,0.48435688,0.60928476,0.5932570208838615
8464049,5,0.67381638,0.32618362,0.27219588,0.4278264759120758
70339565,5,0.28560218,0.60011208,0.71439779,0.5823591111414963
7955892,4,0.31455505,0.66578203,0.41090509,0.35189164899189596
11801958,4,0.48854992,0.31433976,0.2922309,0.4713452267110182
15883027,4,0.28586623,0.27443406,0.30971012,0.5404590431118931
20085366,4,0.1933002,0.57875693,0.65201229,0.5381447854380808
21800598,4,0.76398259,0.23601741,0.61107016,0.704097507001241
30408025,4,0.43111935,0.46151868,0.67470884,0.44290693634800105
39435621,4,0.39084724,0.54294515,0.50025707,0.44755105303472453
56226083,4,0.48511744,0.51488256,0.53248823,0.6895270811872123
59166307,4,0.47791886,0.29355353,0.4591977,0.41692190934534035
66659483,4,0.54643172,0.3083365,0.93145943,0.6356024004879957
66867631,4,0.5593031,0.35007191,0.76035756,0.45382917236154896
84124557,4,0.39554185,0.30986768,0.47278902,0.44903497036485596
10331968,3,0.27096114,0.27096114,0.27096114,0.86451943
10331970,3,0.27198365,0.72801638,0.27198365,0.8640081799999998
13750342,3,0.6156736,0.38432637,0.69128078,0.7461492142334161
26874823,3,0.50543809,0.17823975,0.59885639,0.6983830012600496
26874824,3,0.27271956,0.40212706,0.59787297,0.8179312677751756
29209324,3,0.42152512,0.24757463,0.57847488,0.44577056766423717
55828958,3,0.33392125,0.17441207,0.6610046,0.359680831515926
66048096,3,0.41924223,0.5807578,0.42942855,0.524928128514111
68072545,3,0.77591038,0.13165267,0.86834735,0.32339168800999407
6228708,2,0.58403361,0.41596639,0.41596639,0.5214078518442882
8823631,2,0.48013252,0.51986748,0.84067672,0.3760897978413188
19693962,2,0.26706403,0.59221739,0.73293597,0.43453860454254
30784783,2,0.52973098,0.47026899,0.85488439,0.5594365749811374
35391830,2,0.46625766,0.16871166,0.53374231,0.6070385671117469
35756880,2,0.0859375,0.9140625,0.49843749,0.5564818219328151
49265905,2,0.21153846,0.21153846,0.21153846,0.5131158111085297
50052901,2,0.47108844,0.52891159,0.30782312,0.5762848120319122
61175420,2,0.24396192,0.6215843,0.24396192,0.491961471662282
70382540,2,0.99079752,0.0092024542,0.0092024542,0.1909997553431031
75574260,2,0.17893109,0.82106888,0.67230856,0.22533726467098036
78155314,2,0.26466763,0.51033235,0.48966762,0.5561805172134344
85701586,2,0.49622315,0.50377685,0.49622315,0.49622315000000006
89915623,2,0.22450382,0.66855979,0.33144024,0.5501012222396783
5591089,1,0.94094491,0.05905512,0.05905512,0.9409448899999984
15718998,1,0.98773009,0.012269938,0.012269938,0.01226992866666654
23697435,1,0.043165468,0.043165468,0.95683455,0.7232240871316924
39709852,1,0.17791411,0.17791411,0.17791411,0.5036358622908391
40223015,1,0.64417177,0.35582823,0.64417177,0.4353383704096766
55969438,1,0.88323355,0.11676647,0.11676647,0.8459024816190475
55969439,1,0.095808387,0.095808387,0.095808387,0.784000568404762
55969441,1,0.098802395,0.90119761,0.098802395,0.783932136
55969443,1,0.11377245,0.11377245,0.11377245,0.8240661552857143
55969444,1,0.10479042,0.10479042,0.10479042,0.6166296006980445
55969445,1,0.1017964,0.89820361,0.1017964,0.7476732302380953
55969447,1,0.13473053,0.86526948,0.13473053,0.8967220382539682
55969448,1,0.89221555,0.10778443,0.10778443,0.6928744369736249
55969449,1,0.15868263,0.15868263,0.15868263,0.8889126548888888
55969450,1,0.11077844,0.88922155,0.11077844,0.6026345094859747
55969452,1,0.90718561,0.092814371,0.092814371,0.8494261446666664
55969454,1,0.13173653,0.86826348,0.13173653,0.82996507
56960298,1,0.0092024542,0.99079752,0.0092024542,0.009202462799999922
59059082,1,0.1,0.1,0.1,0.26288852041680055
60141160,1,0.82822084,0.17177914,0.17177914,0.316526609713642
64914509,1,0.28662419,0.28662419,0.71337581,0.5262870422997106
65223581,1,0.11042945,0.11042945,0.11042945,0.27087582441171076
77200251,1,0.92356688,0.076433122,0.92356688,0.24462071650405626
86816189,1,0.81632656,0.18367347,0.81632656,0.5054089471409373
95232889,1,0.29881656,0.29881656,0.70118344,0.5273334898011421
95477121,1,0.40476191,0.59523809,0.40476191,0.46072611431031807
95487081,1,0.018404908,0.9815951,0.9815951,0.9815950973333329
95528082,1,0.23006135,0.76993865,0.23006135,0.23006134999999983
95688592,1,0.01048951,0.98951048,0.98951048,0.9895104833333322
31649196,0,-1.0,-1.0,-1.0,-1.0
35756883,0,-1.0,-1.0,-1.0,-1.0
61350042,0,-1.0,-1.0,-1.0,-1.0
61350044,0,-1.0,-1.0,-1.0,-1.0
65951635,0,-1.0,-1.0,-1.0,-1.0
95811034,0,-1.0,-1.0,-1.0,-1.0
95811035,0,-1.0,-1.0,-1.0,-1.0
95811036,0,-1.0,-1.0,-1.0,-1.0
95844682,0,-1.0,-1.0,-1.0,-1.0
95844683,0,-1.0,-1.0,-1.0,-1.0
95844684,0,-1.0,-1.0,-1.0,-1.0
95844685,0,-1.0,-1.0,-1.0,-1.0
95844686,0,-1.0,-1.0,-1.0,-1.0
95844687,0,-1.0,-1.0,-1.0,-1.0
95844688,0,-1.0,-1.0,-1.0,-1.0
95844689,0,-1.0,-1.0,-1.0,-1.0
95844690,0,-1.0,-1.0,-1.0,-1.0
95844691,0,-1.0,-1.0,-1.0,-1.0
95844692,0,-1.0,-1.0,-1.0,-1.0
95844693,0,-1.0,-1.0,-1.0,-1.0
95844694,0,-1.0,-1.0,-1.0,-1.0
95844697,0,-1.0,-1.0,-1.0,-1.0
95844698,0,-1.0,-1.0,-1.0,-1.0
95844701,0,-1.0,-1.0,-1.0,-1.0
95844702,0,-1.0,-1.0,-1.0,-1.0
95844708,0,-1.0,-1.0,-1.0,-1.0
95844709,0,-1.0,-1.0,-1.0,-1.0
95844710,0,-1.0,-1.0,-1.0,-1.0
95844711,0,-1.0,-1.0,-1.0,-1.0
95844712,0,-1.0,-1.0,-1.0,-1.0
95844715,0,-1.0,-1.0,-1.0,-1.0
95844717,0,-1.0,-1.0,-1.0,-1.0
95844718,0,-1.0,-1.0,-1.0,-1.0
95844720,0,-1.0,-1.0,-1.0,-1.0
95844721,0,-1.0,-1.0,-1.0,-1.0
95844722,0,-1.0,-1.0,-1.0,-1.0
95844723,0,-1.0,-1.0,-1.0,-1.0
95844724,0,-1.0,-1.0,-1.0,-1.0
95844725,0,-1.0,-1.0,-1.0,-1.0
95844726,0,-1.0,-1.0,-1.0,-1.0
95844727,0,-1.0,-1.0,-1.0,-1.0
95844728,0,-1.0,-1.0,-1.0,-1.0
95844729,0,-1.0,-1.0,-1.0,-1.0
95844730,0,-1.0,-1.0,-1.0,-1.0
95844731,0,-1.0,-1.0,-1.0,-1.0
95844732,0,-1.0,-1.0,-1.0,-1.0
95844733,0,-1.0,-1.0,-1.0,-1.0
95844734,0,-1.0,-1.0,-1.0,-1.0
95844736,0,-1.0,-1.0,-1.0,-1.0
95844738,0,-1.0,-1.0,-1.0,-1.0
95915361,0,-1.0,-1.0,-1.0,-1.0
96209827,0,-1.0,-1.0,-1.0,-1.0
96209828,0,-1.0,-1.0,-1.0,-1.0
96209829,0,-1.0,-1.0,-1.0,-1.0
96209830,0,-1.0,-1.0,-1.0,-1.0
96209831,0,-1.0,-1.0,-1.0,-1.0
96209832,0,-1.0,-1.0,-1.0,-1.0
96209834,0,-1.0,-1.0,-1.0,-1.0
96209835,0,-1.0,-1.0,-1.0,-1.0
96209836,0,-1.0,-1.0,-1.0,-1.0
96209837,0,-1.0,-1.0,-1.0,-1.0
96209838,0,-1.0,-1.0,-1.0,-1.0
96209839,0,-1.0,-1.0,-1.0,-1.0
96209840,0,-1.0,-1.0,-1.0,-1.0
96209841,0,-1.0,-1.0,-1.0,-1.0
96209842,0,-1.0,-1.0,-1.0,-1.0
96209843,0,-1.0,-1.0,-1.0,-1.0
96209844,0,-1.0,-1.0,-1.0,-1.0
96209845,0,-1.0,-1.0,-1.0,-1.0
96209846,0,-1.0,-1.0,-1.0,-1.0
