Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5067025,419,HAK,WUH,2011-12-27,22:50:00,151,158,[F,Y],35,11
Relation:couple,coflycnt
95710449,95710451,1
95710449,95710450,1
95710440,95710444,1
95710480,95710482,1
95710467,95710470,1
95710467,95710471,1
95710440,95710445,1
95710480,95710481,1
95710440,95710441,1
95710440,95710443,1
95710440,95710442,1
95710477,95710479,1
95710477,95710478,1
93402725,95672408,1
93402725,95672407,1
93402725,95672409,1
93402725,95672406,1
93402725,95672405,1
95710479,95710480,1
95710479,95710481,1
95710479,95710482,1
95710467,95710469,1
95710467,95710468,1
1391360,16824053,5
95710442,95710443,1
95710437,95710439,1
66916308,95710449,1
66916308,95710448,1
95710442,95710445,1
95710437,95710438,1
95710442,95710444,1
95710432,95710445,1
95710432,95710443,1
95710432,95710444,1
95710432,95710441,1
95710432,95710442,1
95710432,95710440,1
95710452,95710453,1
95710444,95710445,1
93402725,95672410,1
93402725,95672411,1
95710452,95710454,1
95710439,95710442,1
39393005,95710462,1
95710439,95710443,1
95710432,95710433,1
95710432,95710434,1
95710439,95710444,1
95710432,95710435,1
95710439,95710445,1
95688625,95688626,1
95710439,95710440,1
39393005,95710460,1
95710439,95710441,1
39393005,95710461,1
95710432,95710437,1
95710432,95710436,1
95710432,95710439,1
95710432,95710438,1
30045587,95710482,1
95672410,95672411,1
30045587,95710476,1
30045587,95710475,1
30045587,95710478,1
30045587,95710477,1
95710435,95710438,1
95710435,95710437,1
95710435,95710436,1
95710456,95710457,1
95710453,95710454,1
30045587,95710479,1
95710435,95710439,1
95710448,95710450,1
95710460,95710461,1
30045587,95710480,1
95710460,95710462,1
30045587,95710481,1
95710443,95710444,1
95710448,95710451,1
95710443,95710445,1
95710435,95710441,1
95710435,95710440,1
95710435,95710443,1
26223235,95710455,1
95710435,95710442,1
26223235,95710457,1
95710435,95710445,1
95710435,95710444,1
26223235,95710456,1
95710434,95710439,1
95710434,95710438,1
95710434,95710436,1
95710434,95710437,1
95710434,95710435,1
33441408,95710467,1
33441408,95710468,1
33441408,95710469,1
86554668,95710465,1
95710481,95710482,1
95710469,95710470,1
95710469,95710471,1
95672407,95672409,1
95710434,95710445,1
95672407,95672408,1
95710434,95710441,1
95710434,95710442,1
95710434,95710443,1
95710434,95710444,1
95710477,95710481,1
95710477,95710480,1
95710477,95710482,1
95710434,95710440,1
77416048,95710435,1
95672406,95672411,1
77416048,95710434,1
95710436,95710440,1
77416048,95710437,1
95710436,95710441,1
95672406,95672410,1
95710436,95710442,1
77416048,95710436,1
95672407,95672411,1
77416048,95710433,1
77416048,95710432,1
95672407,95672410,1
95710436,95710443,1
95710475,95710477,1
95710436,95710444,1
95710475,95710478,1
95710436,95710445,1
95710475,95710476,1
25907482,84842162,1
95710478,95710480,1
95710475,95710479,1
95710478,95710482,1
95710478,95710481,1
77416048,95710438,1
77416048,95710439,1
95710461,95710462,1
77416048,95710445,1
77416048,95710444,1
77416048,95710443,1
77416048,95710442,1
77416048,95710441,1
77416048,95710440,1
95710436,95710438,1
95672406,95672407,1
95710436,95710439,1
95672406,95672408,1
95710436,95710437,1
95672406,95672409,1
95710478,95710479,1
95710450,95710451,1
33441408,95710471,1
33441408,95710470,1
95710438,95710440,1
95710438,95710441,1
95710438,95710442,1
95710438,95710443,1
95710438,95710444,1
95710438,95710445,1
22622798,95710443,1
22622798,95710442,1
95710475,95710480,1
22622798,95710445,1
95710475,95710481,1
22622798,95710444,1
22622798,95710441,1
22622798,95710440,1
95710475,95710482,1
95710433,95710434,1
3128284,66108644,1
95710433,95710435,1
95710448,95710449,1
95710433,95710436,1
95710433,95710438,1
33441408,46771257,1
95710433,95710437,1
95710433,95710439,1
95672409,95672411,1
95672409,95672410,1
95710438,95710439,1
22622798,95710437,1
22622798,95710438,1
95710433,95710445,1
22622798,95710435,1
46771257,95710468,1
95710433,95710444,1
46771257,95710467,1
22622798,95710436,1
95710433,95710443,1
46771257,95710469,1
95710433,95710442,1
22622798,95710439,1
95710433,95710441,1
95710433,95710440,1
95672405,95672408,1
95710468,95710471,1
95672405,95672407,1
95672405,95672406,1
22622798,95710433,1
22622798,95710434,1
95710468,95710470,1
22622798,95710432,1
95710437,95710443,1
95710437,95710442,1
95672405,95672409,1
95710437,95710441,1
95710437,95710440,1
95710437,95710445,1
46771257,95710470,1
46771257,95710471,1
95710437,95710444,1
66916308,95710450,1
2992736,39393005,1
66916308,95710451,1
95710455,95710456,1
95710455,95710457,1
95710441,95710445,1
95710476,95710478,1
95710476,95710479,1
22622798,77416048,1
95710476,95710477,1
95672408,95672411,1
25907482,26917179,1
95672408,95672410,1
95710441,95710444,1
95710441,95710443,1
95710441,95710442,1
95710476,95710480,1
95710476,95710481,1
95710468,95710469,1
95672405,95672411,1
95672405,95672410,1
95710476,95710482,1
2992736,95710460,1
2992736,95710461,1
95710470,95710471,1
95672408,95672409,1
2992736,95710462,1
