Plane:feid,plane,dpt,arrival,date,time,psgcnt,seatcnt,cabins,ymax,ymin
5073325,429,HRB,KMG,2011-12-28,18:35:00,128,134,[F,Y],51,31
Relation:couple,coflycnt
33359218,53458293,1
51334941,95630284,1
51334941,95630283,1
51334941,95630286,1
51334941,95630285,1
3118555,3118556,3
51334941,95630280,1
51334941,95630282,1
3118555,3118557,3
51334941,95630281,1
95630279,95630284,1
95630279,95630285,1
95630279,95630282,1
95630279,95630283,1
95630279,95630280,1
95630279,95630281,1
51334947,53096817,1
95630279,95630286,1
51334947,51334952,3
51334941,51334951,1
51334947,51334951,3
51334941,51334952,1
51334947,52634204,1
66318855,66318856,4
13163114,52634199,1
13163114,52634198,1
95630283,95630286,1
95630283,95630285,1
95630283,95630284,1
13163114,52634195,1
13163114,52634191,1
33359218,52634198,2
33359218,52634199,2
3118556,3118557,4
33359218,52634195,2
33359218,52634191,2
95253057,95253060,1
16881311,37125448,6
51334951,52634204,1
52634198,95630285,1
27704030,34602623,1
52634198,95630286,1
52634198,95630283,1
52634198,95630284,1
52634198,95630281,1
52634198,95630282,1
52634198,95630280,1
52634191,53096817,1
95253058,95253060,1
52634204,53096817,1
52634198,53096817,1
52634204,95630284,1
52634204,95630283,1
52634204,95630282,1
52634204,95630281,1
52634204,95630280,1
51334941,52634191,1
51334933,52634195,1
51334933,52634191,1
52634204,95630286,1
52634204,95630285,1
52634198,95630277,1
52634198,95630276,1
52634198,95630279,1
52634198,95630278,1
51334933,52634199,1
51334933,52634198,1
51334947,53458293,1
27704030,95253060,1
51334941,52634195,1
51334941,52634199,1
51334941,52634198,1
52634204,95630279,1
52634204,95630278,1
52634204,95630277,1
52634204,95630276,1
51334946,53458293,1
51334951,53096817,1
95630277,95630279,1
95630277,95630278,1
51334939,51334951,1
51334939,51334952,1
95630277,95630280,1
95630277,95630281,1
95630277,95630282,1
95630277,95630283,1
95630277,95630284,1
95630277,95630285,1
95630277,95630286,1
51334934,52634198,1
52634198,52634199,3
51334934,52634199,1
95630285,95630286,1
95630281,95630282,1
95630281,95630284,1
51334934,52634195,1
95630281,95630283,1
51334934,52634191,1
51334941,53096817,1
95630281,95630285,1
51334941,52634204,1
95630281,95630286,1
13163114,95630277,1
13163114,95630276,1
13163114,95630278,1
13163114,95630279,1
51334940,52634191,1
13163114,95630280,1
51334939,51334946,1
51334939,51334947,1
13163114,95630286,1
13163114,95630285,1
13163114,95630284,1
13163114,95630283,1
13163114,95630282,1
51334939,51334940,3
13163114,95630281,1
51334939,51334941,3
59826754,59826755,2
52634199,95630283,1
52634199,95630282,1
51334940,52634195,1
52634199,95630281,1
52634199,95630280,1
52634199,95630286,1
51334940,52634198,1
51334940,52634199,1
52634199,95630285,1
52634199,95630284,1
19668948,37125448,3
51334946,52634195,1
51334946,52634198,1
34602623,95253060,1
